rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,status,status,service,latitude,longitude,altitude,position_covariance,position_covariance_type
1518447243938101343,,35,,0,0,'',,0,0,4220.1798238,-7105.3024368,38.082,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447244153039609,,36,,0,0,'',,0,0,4220.1798296,-7105.3024353,38.079,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447244360143641,,37,,0,0,'',,0,0,4220.1798352,-7105.3024328,38.078,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447244550216001,,38,,0,0,'',,0,0,4220.1798393,-7105.3024291,38.075,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447244742244086,,39,,0,0,'',,0,0,4220.1798427,-7105.3024258,38.073,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447244950216864,,40,,0,0,'',,0,0,4220.1798419,-7105.3024247,38.083,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447245164633024,,41,,0,0,'',,0,0,4220.1798442,-7105.3024237,38.084,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447245364966841,,42,,0,0,'',,0,0,4220.1798451,-7105.3024216,38.085,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447245536517463,,43,,0,0,'',,0,0,4220.1798487,-7105.3024216,38.079,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447245738001473,,44,,0,0,'',,0,0,4220.1798491,-7105.3024197,38.077,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447245967746994,,45,,0,0,'',,0,0,4220.1798491,-7105.302418,38.084,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447246133819300,,46,,0,0,'',,0,0,4220.1798505,-7105.3024122,38.083,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447246349572628,,47,,0,0,'',,0,0,4220.1798503,-7105.3024065,38.083,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447246537987465,,48,,0,0,'',,0,0,4220.1798568,-7105.3023983,38.085,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447246737215082,,49,,0,0,'',,0,0,4220.1798634,-7105.3023947,38.087,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447246974314821,,50,,0,0,'',,0,0,4220.1798625,-7105.3023936,38.096,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447247159104510,,51,,0,0,'',,0,0,4220.1798644,-7105.3023939,38.087,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447247343403004,,52,,0,0,'',,0,0,4220.1798658,-7105.3023926,38.087,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447247550209715,,53,,0,0,'',,0,0,4220.1798677,-7105.3023926,38.088,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447247737892849,,54,,0,0,'',,0,0,4220.1798675,-7105.3023917,38.087,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447247945003994,,55,,0,0,'',,0,0,4220.1798642,-7105.3023937,38.086,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447248157682312,,56,,0,0,'',,0,0,4220.1798617,-7105.3023958,38.085,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447248354439976,,57,,0,0,'',,0,0,4220.1798606,-7105.3023975,38.086,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447248548174582,,58,,0,0,'',,0,0,4220.1798589,-7105.302398,38.086,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447248741772087,,59,,0,0,'',,0,0,4220.1798577,-7105.302401,38.085,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447248953601690,,60,,0,0,'',,0,0,4220.1798544,-7105.3024061,38.081,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447249151830882,,61,,0,0,'',,0,0,4220.1798537,-7105.302407,38.081,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447249354411927,,62,,0,0,'',,0,0,4220.1798528,-7105.3024093,38.084,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447249558170078,,63,,0,0,'',,0,0,4220.1798516,-7105.3024101,38.082,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447249741201191,,64,,0,0,'',,0,0,4220.1798502,-7105.3024119,38.078,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447249962408466,,65,,0,0,'',,0,0,4220.1798513,-7105.3024104,38.076,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447250151274673,,66,,0,0,'',,0,0,4220.1798528,-7105.3024091,38.073,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447250344613039,,67,,0,0,'',,0,0,4220.1798531,-7105.3024071,38.077,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447250553126103,,68,,0,0,'',,0,0,4220.1798547,-7105.302406,38.073,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447250741985721,,69,,0,0,'',,0,0,4220.1798552,-7105.3024002,38.071,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447250955458178,,70,,0,0,'',,0,0,4220.1798614,-7105.3023994,38.072,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447251159846074,,71,,0,0,'',,0,0,4220.1798618,-7105.3023946,38.074,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447251349911786,,72,,0,0,'',,0,0,4220.1798626,-7105.3023948,38.075,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447251548670251,,73,,0,0,'',,0,0,4220.1798632,-7105.3023938,38.073,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447251733678339,,74,,0,0,'',,0,0,4220.179865,-7105.3023925,38.074,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447251957103749,,75,,0,0,'',,0,0,4220.1798628,-7105.3023912,38.07,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447252137545797,,76,,0,0,'',,0,0,4220.1798624,-7105.3023881,38.071,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447252346918063,,77,,0,0,'',,0,0,4220.1798633,-7105.3023855,38.074,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447252551308476,,78,,0,0,'',,0,0,4220.1798668,-7105.302384,38.079,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447252753566048,,79,,0,0,'',,0,0,4220.1798681,-7105.3023827,38.079,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447252942177961,,80,,0,0,'',,0,0,4220.1798678,-7105.3023849,38.08,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447253157323851,,81,,0,0,'',,0,0,4220.1798703,-7105.3023836,38.084,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447253331258461,,82,,0,0,'',,0,0,4220.1798716,-7105.3023795,38.087,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447253540959015,,83,,0,0,'',,0,0,4220.1798706,-7105.3023747,38.091,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447253744369775,,84,,0,0,'',,0,0,4220.1798707,-7105.3023755,38.09,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447253953979988,,85,,0,0,'',,0,0,4220.1798648,-7105.3023771,38.086,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447254130633151,,86,,0,0,'',,0,0,4220.1798621,-7105.3023757,38.088,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447254350916471,,87,,0,0,'',,0,0,4220.179863,-7105.3023776,38.093,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447254548099301,,88,,0,0,'',,0,0,4220.1798654,-7105.3024068,38.119,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447254752910608,,89,,0,0,'',,0,0,4220.179861,-7105.3024395,38.147,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447254952404470,,90,,0,0,'',,0,0,4220.1798555,-7105.3024821,38.169,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447255144477857,,91,,0,0,'',,0,0,4220.1798831,-7105.3025543,38.154,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447255393903997,,92,,0,0,'',,0,0,4220.1799103,-7105.3026229,38.161,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447255540654358,,93,,0,0,'',,0,0,4220.1799285,-7105.3026898,38.161,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447255745423231,,94,,0,0,'',,0,0,4220.1799475,-7105.3027577,38.124,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447255950475171,,95,,0,0,'',,0,0,4220.1799777,-7105.3028128,38.104,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447256173870772,,96,,0,0,'',,0,0,4220.1800287,-7105.3028712,38.108,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447256358684987,,97,,0,0,'',,0,0,4220.1800869,-7105.302911,38.125,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447256565339572,,98,,0,0,'',,0,0,4220.1801345,-7105.3029498,38.125,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447256742928535,,99,,0,0,'',,0,0,4220.1801783,-7105.3029995,38.11,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447256970003676,,100,,0,0,'',,0,0,4220.1802392,-7105.3030818,38.117,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447257185474719,,101,,0,0,'',,0,0,4220.1802952,-7105.3031558,38.161,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447257346251564,,102,,0,0,'',,0,0,4220.1803442,-7105.3032235,38.166,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447257556885263,,103,,0,0,'',,0,0,4220.1803929,-7105.3032917,38.158,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447257745580528,,104,,0,0,'',,0,0,4220.1804581,-7105.3033663,38.154,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447257949385308,,105,,0,0,'',,0,0,4220.1805204,-7105.3034417,38.17,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447258173280279,,106,,0,0,'',,0,0,4220.1805743,-7105.3035168,38.177,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447258358661753,,107,,0,0,'',,0,0,4220.1806268,-7105.3036039,38.154,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447258562097370,,108,,0,0,'',,0,0,4220.1806763,-7105.3036923,38.175,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447258746081739,,109,,0,0,'',,0,0,4220.1807126,-7105.30376,38.191,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447258943167641,,110,,0,0,'',,0,0,4220.1807435,-7105.3038104,38.176,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447259155629693,,111,,0,0,'',,0,0,4220.1807889,-7105.303873,38.16,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447259347284258,,112,,0,0,'',,0,0,4220.1808553,-7105.3039394,38.178,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
