rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,status,status,service,latitude,longitude,altitude,position_covariance,position_covariance_type
1518447162129731180,,22,,0,0,'',,0,0,4220.1797545,-7105.3023434,38.193,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447162356668021,,23,,0,0,'',,0,0,4220.1797512,-7105.3023452,38.194,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447162536041669,,24,,0,0,'',,0,0,4220.1797527,-7105.3023483,38.2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447162729532004,,25,,0,0,'',,0,0,4220.179752,-7105.3023553,38.195,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447162952688213,,26,,0,0,'',,0,0,4220.1797557,-7105.30236,38.197,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447163150920484,,27,,0,0,'',,0,0,4220.1797566,-7105.3023614,38.2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447163342507697,,28,,0,0,'',,0,0,4220.1797589,-7105.3023608,38.202,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447163558683563,,29,,0,0,'',,0,0,4220.1797622,-7105.3023598,38.199,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447163744001242,,30,,0,0,'',,0,0,4220.1797655,-7105.3023599,38.205,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447163951241153,,31,,0,0,'',,0,0,4220.1797673,-7105.3023574,38.209,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447164150419708,,32,,0,0,'',,0,0,4220.1797687,-7105.3023577,38.213,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447164342538407,,33,,0,0,'',,0,0,4220.1797731,-7105.3023579,38.214,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518447164536980868,,34,,0,0,'',,0,0,4220.1797762,-7105.3023574,38.214,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
