rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,status,status,service,latitude,longitude,altitude,position_covariance,position_covariance_type
1518311030224875539,,138,,0,0,'',,0,0,4220.5337941,-7103.9281259,3.533,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311030305973485,,139,,0,0,'',,0,0,4220.5341994,-7103.9288066,3.414,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311030938355129,,140,,0,0,'',,0,0,4220.5342722,-7103.9287472,2.957,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311030948826680,,141,,0,0,'',,0,0,4220.5341779,-7103.9288068,2.476,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311030950385115,,142,,0,0,'',,0,0,4220.534403,-7103.9290836,0.86,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311031177586298,,143,,0,0,'',,0,0,4220.534354,-7103.9290947,1.747,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311031282628636,,144,,0,0,'',,0,0,4220.5343319,-7103.9287669,2.382,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311031550454002,,145,,0,0,'',,0,0,4220.5341812,-7103.9286332,1.386,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311032173272811,,146,,0,0,'',,0,0,4220.534432,-7103.929079,0.659,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311032188636720,,147,,0,0,'',,0,0,4220.5344042,-7103.9295406,0.524,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311032192733859,,148,,0,0,'',,0,0,4220.534436,-7103.9296722,1.452,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311032282905699,,149,,0,0,'',,0,0,4220.534453,-7103.9300744,0.5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311032479278151,,150,,0,0,'',,0,0,4220.534143,-7103.930309,0.542,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311032776239535,,151,,0,0,'',,0,0,4220.5340067,-7103.9305952,1.179,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311033090521374,,152,,0,0,'',,0,0,4220.5336191,-7103.9301205,1.87,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311033092475949,,153,,0,0,'',,0,0,4220.5337229,-7103.9303961,1.045,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311033281899727,,154,,0,0,'',,0,0,4220.5335309,-7103.9296897,1.073,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311033484653755,,155,,0,0,'',,0,0,4220.5334341,-7103.9296583,1.754,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311033684572953,,156,,0,0,'',,0,0,4220.5335007,-7103.9298469,1.423,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311033941315814,,157,,0,0,'',,0,0,4220.5334015,-7103.929706,2.659,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311034070942070,,158,,0,0,'',,0,0,4220.5332168,-7103.9294875,3.192,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311034312531447,,159,,0,0,'',,0,0,4220.5330832,-7103.9295616,3.322,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311034474062144,,160,,0,0,'',,0,0,4220.5330148,-7103.9295177,3.579,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311034700511023,,161,,0,0,'',,0,0,4220.5331191,-7103.9294812,3.117,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311035238834353,,162,,0,0,'',,0,0,4220.5331114,-7103.9296902,3.031,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311035245319918,,163,,0,0,'',,0,0,4220.5331753,-7103.9297214,3.266,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311035274867525,,164,,0,0,'',,0,0,4220.5331741,-7103.9296248,3.635,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311035488418969,,165,,0,0,'',,0,0,4220.5329719,-7103.9299359,3.761,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311035679673872,,166,,0,0,'',,0,0,4220.5330562,-7103.9299078,4.014,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311035908241964,,167,,0,0,'',,0,0,4220.5328887,-7103.9300599,3.783,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311036091397656,,168,,0,0,'',,0,0,4220.5326968,-7103.9299262,2.369,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311036266223119,,169,,0,0,'',,0,0,4220.5327414,-7103.9298669,2.82,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311036498914130,,170,,0,0,'',,0,0,4220.5324029,-7103.9301622,2.868,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311036687535844,,171,,0,0,'',,0,0,4220.5324591,-7103.9297996,2.928,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311036890673058,,172,,0,0,'',,0,0,4220.5326419,-7103.9292241,2.29,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311037116861866,,173,,0,0,'',,0,0,4220.5324955,-7103.9286609,2.918,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311037283202283,,174,,0,0,'',,0,0,4220.5323837,-7103.9288844,2.431,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311037489023178,,175,,0,0,'',,0,0,4220.5323358,-7103.9296377,1.809,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311037697216205,,176,,0,0,'',,0,0,4220.5322485,-7103.929149,1.426,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311038313207914,,177,,0,0,'',,0,0,4220.5321411,-7103.9287287,1.202,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311038316327165,,178,,0,0,'',,0,0,4220.5318461,-7103.9292453,4.334,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311038318384340,,179,,0,0,'',,0,0,4220.5322261,-7103.9303436,1.208,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311038505961798,,180,,0,0,'',,0,0,4220.5321616,-7103.9303099,1.579,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311038680722909,,181,,0,0,'',,0,0,4220.5320419,-7103.9303643,1.981,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311038921115699,,182,,0,0,'',,0,0,4220.5316999,-7103.9281135,3.257,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311039116271269,,183,,0,0,'',,0,0,4220.5319089,-7103.9292953,1.736,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311039300183293,,184,,0,0,'',,0,0,4220.5320218,-7103.9299444,1.666,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518311039482914694,,185,,0,0,'',,0,0,4220.5324828,-7103.9290941,-0.663,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
