rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,status,status,service,latitude,longitude,altitude,position_covariance,position_covariance_type
1518310200295607225,,81,,0,0,'',,0,0,4220.5334805,-7103.9290413,8.062,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518310200487686573,,82,,0,0,'',,0,0,4220.5335084,-7103.9292113,7.84,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518310201075110540,,83,,0,0,'',,0,0,4220.5335367,-7103.9292247,7.368,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518310201083454361,,84,,0,0,'',,0,0,4220.5335434,-7103.9291824,7.483,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518310201083466618,,85,,0,0,'',,0,0,4220.5335868,-7103.9291169,7.601,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518310201380377106,,86,,0,0,'',,0,0,4220.5335726,-7103.929143,7.547,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518310201513637700,,87,,0,0,'',,0,0,4220.5335917,-7103.9291584,7.783,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518310201681709605,,88,,0,0,'',,0,0,4220.5336333,-7103.9291823,7.52,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518310201888035727,,89,,0,0,'',,0,0,4220.5337111,-7103.9290766,7.638,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518310202342681611,,90,,0,0,'',,0,0,4220.5337621,-7103.9291226,7.715,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518310202343769784,,91,,0,0,'',,0,0,4220.5338217,-7103.9291406,7.541,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1518310202493357101,,92,,0,0,'',,0,0,4220.5338021,-7103.9291165,7.406,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
